# angle (rad)	angle (deg)	range (m)
0.0000	0.0000	0.0000
0.0100	0.5730	0.2039
0.0200	1.1459	0.4076
0.0300	1.7189	0.6113
0.0400	2.2918	0.8146
0.0500	2.8648	1.0177
0.0600	3.4377	1.2203
0.0700	4.0107	1.4225
0.0800	4.5837	1.6240
0.0900	5.1566	1.8250
0.1000	5.7296	2.0252
0.1100	6.3025	2.2246
0.1200	6.8755	2.4231
0.1300	7.4485	2.6206
0.1400	8.0214	2.8171
0.1500	8.5944	3.0124
0.1600	9.1673	3.2066
0.1700	9.7403	3.3995
0.1800	10.3132	3.5910
0.1900	10.8862	3.7810
0.2000	11.4592	3.9696
0.2100	12.0321	4.1566
0.2200	12.6051	4.3419
0.2300	13.1780	4.5255
0.2400	13.7510	4.7072
0.2500	14.3239	4.8871
0.2600	14.8969	5.0650
0.2700	15.4699	5.2409
0.2800	16.0428	5.4147
0.2900	16.6158	5.5864
0.3000	17.1887	5.7558
0.3100	17.7617	5.9229
0.3200	18.3346	6.0876
0.3300	18.9076	6.2499
0.3400	19.4806	6.4097
0.3500	20.0535	6.5669
0.3600	20.6265	6.7216
0.3700	21.1994	6.8735
0.3800	21.7724	7.0226
0.3900	22.3454	7.1690
0.4000	22.9183	7.3125
0.4100	23.4913	7.4531
0.4200	24.0642	7.5907
0.4300	24.6372	7.7252
0.4400	25.2101	7.8567
0.4500	25.7831	7.9850
0.4600	26.3561	8.1101
0.4700	26.9290	8.2320
0.4800	27.5020	8.3506
0.4900	28.0749	8.4658
0.5000	28.6479	8.5777
0.5100	29.2208	8.6861
0.5200	29.7938	8.7911
0.5300	30.3668	8.8925
0.5400	30.9397	8.9904
0.5500	31.5127	9.0847
0.5600	32.0856	9.1753
0.5700	32.6586	9.2623
0.5800	33.2316	9.3456
0.5900	33.8045	9.4251
0.6000	34.3775	9.5009
0.6100	34.9504	9.5729
0.6200	35.5234	9.6410
0.6300	36.0963	9.7053
0.6400	36.6693	9.7657
0.6500	37.2423	9.8222
0.6600	37.8152	9.8748
0.6700	38.3882	9.9234
0.6800	38.9611	9.9680
0.6900	39.5341	10.0087
0.7000	40.1070	10.0454
0.7100	40.6800	10.0780
0.7200	41.2530	10.1066
0.7300	41.8259	10.1312
0.7400	42.3989	10.1517
0.7500	42.9718	10.1681
0.7600	43.5448	10.1805
0.7700	44.1178	10.1888
0.7800	44.6907	10.1931
0.7900	45.2637	10.1932
0.8000	45.8366	10.1893
0.8100	46.4096	10.1813
0.8200	46.9825	10.1693
0.8300	47.5555	10.1531
0.8400	48.1285	10.1330
0.8500	48.7014	10.1087
0.8600	49.2744	10.0804
0.8700	49.8473	10.0481
0.8800	50.4203	10.0118
0.8900	50.9932	9.9714
0.9000	51.5662	9.9271
0.9100	52.1392	9.8788
0.9200	52.7121	9.8265
0.9300	53.2851	9.7703
0.9400	53.8580	9.7103
0.9500	54.4310	9.6463
0.9600	55.0039	9.5784
0.9700	55.5769	9.5068
0.9800	56.1499	9.4313
0.9900	56.7228	9.3521
1.0000	57.2958	9.2691
1.0100	57.8687	9.1824
1.0200	58.4417	9.0920
1.0300	59.0147	8.9980
1.0400	59.5876	8.9004
1.0500	60.1606	8.7993
1.0600	60.7335	8.6946
1.0700	61.3065	8.5864
1.0800	61.8794	8.4749
1.0900	62.4524	8.3599
1.1000	63.0254	8.2416
1.1100	63.5983	8.1199
1.1200	64.1713	7.9951
1.1300	64.7442	7.8670
1.1400	65.3172	7.7358
1.1500	65.8901	7.6015
1.1600	66.4631	7.4641
1.1700	67.0361	7.3238
1.1800	67.6090	7.1805
1.1900	68.1820	7.0344
1.2000	68.7549	6.8855
1.2100	69.3279	6.7338
1.2200	69.9009	6.5794
1.2300	70.4738	6.4223
1.2400	71.0468	6.2627
1.2500	71.6197	6.1006
1.2600	72.1927	5.9361
1.2700	72.7656	5.7692
1.2800	73.3386	5.6000
1.2900	73.9116	5.4285
1.3000	74.4845	5.2549
1.3100	75.0575	5.0791
1.3200	75.6304	4.9014
1.3300	76.2034	4.7216
1.3400	76.7763	4.5400
1.3500	77.3493	4.3566
1.3600	77.9223	4.1714
1.3700	78.4952	3.9846
1.3800	79.0682	3.7961
1.3900	79.6411	3.6062
1.4000	80.2141	3.4148
1.4100	80.7870	3.2220
1.4200	81.3600	3.0279
1.4300	81.9330	2.8327
1.4400	82.5059	2.6363
1.4500	83.0789	2.4388
1.4600	83.6518	2.2404
1.4700	84.2248	2.0411
1.4800	84.7978	1.8409
1.4900	85.3707	1.6401
1.5000	85.9437	1.4385
1.5100	86.5166	1.2364
1.5200	87.0896	1.0338
1.5300	87.6625	0.8308
1.5400	88.2355	0.6275
1.5500	88.8085	0.4239
1.5600	89.3814	0.2201
1.5700	89.9544	0.0162
